Bug,Correct Patches,Overfitting Patches,Correctly Predicted Correct,Correctly Predicted Overfitted,Sample sufficient with 80% prob.,Sample sufficient with 90% prob.,Sample sufficient with 100% prob.
Closure63,0,1,0,1,0,0,0
Closure93,0,9,0,9,0,0,0
Chart2,1,0,0,0,1,1,1
Closure100,1,0,0,0,1,1,1
Closure103,1,0,0,0,1,1,1
Closure104,1,0,0,0,1,1,1
Closure13,1,0,0,0,1,1,1
Closure28,1,0,0,0,1,1,1
Closure37,1,0,0,0,1,1,1
Closure4,1,0,0,0,1,1,1
Closure43,1,0,0,0,1,1,1
Closure47,1,0,0,0,1,1,1
Closure60,1,0,0,0,1,1,1
Closure83,1,0,0,0,1,1,1
Closure87,1,0,0,0,1,1,1
Closure94,1,0,0,0,1,1,1
Closure97,1,0,0,0,1,1,1
Lang34,1,0,0,0,1,1,1
Lang40,1,0,0,0,1,1,1
Lang47,2,0,0,0,1,1,1
Lang64,1,0,0,0,1,1,1
Lang65,1,0,0,0,1,1,1
Lang8,1,0,0,0,1,1,1
Math10,1,0,0,0,1,1,1
Math16,1,0,0,0,1,1,1
Math21,1,0,0,0,1,1,1
Math36,1,0,0,0,1,1,1
Math38,1,0,0,0,1,1,1
Math77,1,0,0,0,1,1,1
Math94,1,0,0,0,1,1,1
Time21,1,0,0,0,1,1,1
Time27,1,0,0,0,1,1,1
Closure101,1,1,0,1,2,2,2
Closure122,1,1,0,0,2,2,2
Closure14,1,1,0,0,2,2,2
Closure19,2,1,0,1,2,2,2
Closure35,1,1,0,1,2,2,2
Closure57,1,1,0,0,2,2,2
Closure68,2,2,0,2,2,3,3
Closure8,1,1,0,0,2,2,2
Closure92,1,1,0,1,2,2,2
Lang12,1,1,0,0,2,2,2
Lang18,1,1,0,1,2,2,2
Math52,1,1,0,0,2,2,2
Math56,1,1,0,0,2,2,2
Math70,3,2,0,2,2,2,3
Math96,1,1,0,0,2,2,2
Time17,1,1,0,0,2,2,2
Chart18,1,2,0,0,3,3,3
Closure1,1,2,0,1,3,3,3
Closure107,1,2,0,2,3,3,3
Closure109,1,2,0,0,3,3,3
Closure117,1,2,0,1,3,3,3
Closure130,1,2,0,1,3,3,3
Lang13,1,2,0,0,3,3,3
Lang58,3,5,0,5,3,4,6
Math15,1,2,0,1,3,3,3
Math31,1,2,0,2,3,3,3
Math43,1,2,0,1,3,3,3
Math62,1,2,0,0,3,3,3
Chart21,1,3,0,3,4,4,4
Closure114,1,3,0,3,4,4,4
Closure45,1,3,0,3,4,4,4
Closure86,2,4,0,1,4,4,5
Lang16,1,3,0,3,4,4,4
Lang39,2,5,0,5,4,5,6
Lang45,2,4,0,1,4,4,5
Lang61,1,3,0,3,4,4,4
Math32,2,4,0,4,4,4,5
Math33,2,5,0,4,4,5,6
Math42,1,3,0,3,4,4,4
Math97,1,3,0,3,4,4,4
Time4,1,3,0,2,4,4,4
Chart7,2,6,0,4,5,6,7
Closure124,1,4,0,3,5,5,5
Closure59,1,4,0,3,5,5,5
Closure67,1,4,0,4,5,5,5
Closure75,1,4,0,2,5,5,5
Lang20,1,4,0,3,5,5,5
Lang22,1,4,0,4,5,5,5
Lang53,1,4,0,4,5,5,5
Math105,1,4,0,4,5,5,5
Math82,6,17,0,15,5,7,18
Math88,1,5,0,5,5,6,6
Time11,1,5,0,2,5,6,6
Lang27,1,6,0,6,6,7,7
Chart1,3,14,0,14,7,9,15
Chart3,1,7,0,7,7,8,8
Math28,1,7,0,7,7,8,8
Math40,1,7,0,7,7,8,8
Math8,1,7,0,7,7,8,8
Chart5,2,12,0,12,8,10,13
Math63,2,12,0,11,8,10,13
Math84,1,9,0,9,8,9,10
Math95,1,10,0,9,9,10,11
Lang59,2,15,0,15,10,12,16
Math80,4,27,0,27,10,13,28
Math2,1,12,0,12,11,12,13
Math85,5,34,0,34,11,14,35
Chart13,1,15,0,15,13,15,16
Chart25,1,15,0,13,13,15,16
Math81,1,18,0,18,16,18,19
Chart10,1,0,1,0,1,1,1
Chart16,1,0,1,0,1,1,1
Chart23,1,0,1,0,1,1,1
Closure102,1,0,1,0,1,1,1
Closure105,1,0,1,0,1,1,1
Closure11,1,0,1,0,1,1,1
Closure110,1,0,1,0,1,1,1
Closure111,1,0,1,0,1,1,1
Closure113,1,0,1,0,1,1,1
Closure118,1,0,1,0,1,1,1
Closure128,1,0,1,0,1,1,1
Closure131,1,0,1,0,1,1,1
Closure132,1,0,1,0,1,1,1
Closure15,1,0,1,0,1,1,1
Closure16,1,0,1,0,1,1,1
Closure17,1,0,1,0,1,1,1
Closure20,1,0,1,0,1,1,1
Closure23,1,0,1,0,1,1,1
Closure24,1,0,1,0,1,1,1
Closure25,1,0,1,0,1,1,1
Closure27,1,0,1,0,1,1,1
Closure29,1,0,1,0,1,1,1
Closure30,1,0,1,0,1,1,1
Closure31,2,0,1,0,1,1,1
Closure32,1,0,1,0,1,1,1
Closure34,1,0,1,0,1,1,1
Closure36,1,0,1,0,1,1,1
Closure39,1,0,1,0,1,1,1
Closure41,1,0,1,0,1,1,1
Closure42,1,0,1,0,1,1,1
Closure44,1,0,1,0,1,1,1
Closure49,1,0,1,0,1,1,1
Closure5,1,0,1,0,1,1,1
Closure50,1,0,1,0,1,1,1
Closure51,1,0,1,0,1,1,1
Closure52,1,0,1,0,1,1,1
Closure53,1,0,1,0,1,1,1
Closure54,1,0,1,0,1,1,1
Closure56,1,0,1,0,1,1,1
